Input data:
x: 0,5570878423179026	 y: 0
x: 6,32163309819989	 y: -1,855011276148561
x: 2,6065089074820125	 y: -1,867736364760477
x: 6,219465338762151	 y: -1,8804527743980735
x: 5,145418865356958	 y: -1,8931285405875424
x: 0,19357864804606328	 y: -1,9057758814910244
x: 1,9611308987488463	 y: -1,9184212752535972
x: 7,195376730984691	 y: -1,9310608930142652
x: 5,510690058510975	 y: -1,9436466986973961
x: 6,685679415541886	 y: -1,9562001283091408
x: 5,434854944138834	 y: -1,9687068099623406
x: 8,657326638469529	 y: -1,9811819221531115
x: 6,077320581190717	 y: -1,9935799497653628
x: 9,898513327190607	 y: -2,0059389720004686
x: 0,1924842979605801	 y: -2,0181978074571436
x: 6,780228468507468	 y: -2,0304545835491363
x: 3,241768236201251	 y: -2,042663261540357
x: 5,103858576686873	 y: -2,0548593626658644
x: 9,034152278498983	 y: -2,0670273032667494
x: 7,01023362526235	 y: -2,079111393315687
x: 2,9417979865216406	 y: -2,0911441582789037
x: 4,125599288294401	 y: -2,1031661563996504
x: 0,0790746085816707	 y: -2,1151689924798345
x: 0,7683155815685161	 y: -2,1271697028890157
x: 3,287967364135682	 y: -2,139167690376541
x: 8,172964236317476	 y: -2,1511527020282926
x: 8,81421736220711	 y: -2,163068627078818
x: 0,8714694677731127	 y: -2,174904538686136
x: 1,03258787481475	 y: -2,186737510052339
x: 4,2352023454823655	 y: -2,1985672219275907
x: 6,759876884096263	 y: -2,210376757965214
x: 2,222383258091767	 y: -2,2221382917340557
x: 8,887919839326495	 y: -2,2338926500334964
x: 2,4112889564618323	 y: -2,245565616619181
x: 6,068221788413769	 y: -2,2572305071808456
x: 5,197205666168594	 y: -2,2688562389178393
x: 5,4317237557038975	 y: -2,2804526322042946
x: 8,527801698036395	 y: -2,292017177751529
x: 5,604201207297109	 y: -2,3035065576236
x: 0,34251774232866294	 y: -2,314962159395519
x: 1,130961101030894	 y: -2,326415324015007
x: 2,2767432395707066	 y: -2,3378648759243514
x: 8,961566113954474	 y: -2,3493068913435975
x: 9,785106689785582	 y: -2,3606660822224814
x: 5,394733712615678	 y: -2,371926967609675
x: 7,133347308099472	 y: -2,3831563148733617
x: 7,222495413122822	 y: -2,3943322876412982
x: 6,128653984762469	 y: -2,4054535923555154
x: 4,082647905959968	 y: -2,416534851164711
x: 6,763376067153216	 y: -2,4275969871987035
x: 7,424247755216332	 y: -2,4386108558934723
x: 5,351256423709842	 y: -2,4495670512336187
x: 1,4456353183923842	 y: -2,460492098796996
x: 3,6742343165028704	 y: -2,471412586892424
x: 1,3463333874090533	 y: -2,4823170715866536
x: 2,0393536692587455	 y: -2,4932172527474585
x: 3,1723623543198776	 y: -2,5041107684032777
x: 3,203445469666181	 y: -2,51499169089168
x: 0,6821474198518207	 y: -2,525859810733022
x: 9,967805656717811	 y: -2,536724933398096
x: 2,314922830596904	 y: -2,5474879580947887
x: 3,187774053297164	 y: -2,558243060599349
x: 7,1755585142749005	 y: -2,5689854174789293
x: 0,9418067134810959	 y: -2,5796736084554603
x: 8,634316750110779	 y: -2,5903583258147367
x: 8,311490575268275	 y: -2,600965746874643
x: 2,530067531004355	 y: -2,6115013425142046
x: 0,6529102172000678	 y: -2,622027907358152
x: 8,372489335684552	 y: -2,632551417776644
x: 9,571350248416303	 y: -2,6430020513852988
x: 5,663766529199164	 y: -2,6533582424556905
x: 2,626586613523277	 y: -2,6636796323489897
x: 9,61764489633354	 y: -2,673991440451418
x: 7,730232225607719	 y: -2,6842078848369844
x: 5,876062418201493	 y: -2,694361763455435
x: 7,372092382915092	 y: -2,7044783450458207
x: 7,859708528523662	 y: -2,714537760135925
x: 7,690909972315128	 y: -2,724532556497277
x: 6,624370555413115	 y: -2,7344653542947412
x: 7,141875430381158	 y: -2,7443514419680577
x: 8,529015900855384	 y: -2,75418367124233
x: 7,396966558524786	 y: -2,7639402509973046
x: 7,289516185776117	 y: -2,773639236566984
x: 6,147640667226662	 y: -2,783282199461877
x: 8,927821300204661	 y: -2,7928845043133688
x: 1,3224319606387014	 y: -2,8024041450416055
x: 9,56462400658774	 y: -2,811919225423274
x: 8,284833602580013	 y: -2,8213398229821673
x: 1,854946635409347	 y: -2,8306888175991336
x: 3,5593541567184914	 y: -2,8400315281383905
x: 3,9222980912327454	 y: -2,8493586985794503
x: 7,038114228087632	 y: -2,8586675987171586
x: 9,5785985032844	 y: -2,867924000190551
x: 5,294906717953659	 y: -2,877085594671478
x: 7,870116973676082	 y: -2,88621621411055
x: 7,4397879067279105	 y: -2,895281878747579
x: 2,763695132483026	 y: -2,90428918099221
x: 3,177738148988211	 y: -2,913285919820605
x: 6,28799774066068	 y: -2,92226962128164
x: 1,3090330070056377	 y: -2,931210776507543
x: 5,673960196665848	 y: -2,9401472776517465
x: 1,6148750564508896	 y: -2,949048574450873
x: 7,231245434104697	 y: -2,957944303249544
x: 7,427331201935226	 y: -2,9667846725297062
x: 2,740327088460377	 y: -2,975566793337716
x: 1,1699105300220258	 y: -2,984338408184966
x: 7,235567000498579	 y: -2,9931056612840248
x: 1,1434008882316005	 y: -3,0018174569882716
x: 8,738178974819338	 y: -3,0105249348781586
x: 1,4452377123549265	 y: -3,019152887500305
x: 0,6900060807189445	 y: -3,027775722026444
x: 5,619281443286038	 y: -3,0363950456501763
x: 7,041910998465045	 y: -3,0449796872255095
x: 1,8521458001570512	 y: -3,0535115898855536
x: 3,9937117263430078	 y: -3,0620369956025533
x: 2,49823469072377	 y: -3,070543351468552
x: 7,308776990753466	 y: -3,079040376963217
x: 6,715764722653988	 y: -3,0874807920321636
x: 6,3540105769606035	 y: -3,0958729216017944
x: 6,471453325216582	 y: -3,104221494778863
x: 1,8430602386433748	 y: -3,1125249939233055
x: 1,3942030810020434	 y: -3,1208219706333638
x: 2,2671506914642494	 y: -3,129113872574758
x: 8,61676025501581	 y: -3,1373974888670095
x: 1,8453731651598815	 y: -3,1456035642001026
x: 1,4811992262815576	 y: -3,1538030754058215
x: 3,87628662761116	 y: -3,1619972281457445
x: 2,922131027738275	 y: -3,1701731568605935
x: 8,398116056351741	 y: -3,178337353099323
x: 2,7982336422704512	 y: -3,1864276950126063
x: 2,55798544691359	 y: -3,194506998320506
x: 6,944325547437763	 y: -3,202576544327015
x: 7,6656392832230145	 y: -3,210594561092718
x: 8,42911669000374	 y: -3,218550481106834
x: 2,8252111831900972	 y: -3,2264319838020743
x: 8,792339997329051	 y: -3,234302255796931
x: 4,217521324099243	 y: -3,242091826925873
x: 7,562521287047876	 y: -3,2498603263545394
x: 6,552556928741176	 y: -3,2575682631299183
x: 4,16182264806727	 y: -3,2652299138088234
x: 5,754112865870516	 y: -3,2728709372562252
x: 2,9950958701527206	 y: -3,2804755051431513
x: 4,9087159301391345	 y: -3,288067797416349
x: 9,801277553479181	 y: -3,295632651280286
x: 8,927672607333573	 y: -3,303097945450063
x: 4,155362016970661	 y: -3,3104800669214867
x: 6,354261608538923	 y: -3,317841569662509
x: 9,622239064846136	 y: -3,325159290401149
x: 8,974880029797383	 y: -3,3323809063824683
x: 0,9730489555478883	 y: -3,339518473497648
x: 7,494002862061483	 y: -3,3466517456845235
x: 1,067458157483815	 y: -3,353725391948537
x: 1,7364661837954876	 y: -3,3607945360203577
x: 5,3138771457233	 y: -3,3678572912114624
x: 7,576168282698808	 y: -3,3748883779497194
x: 9,174269223488729	 y: -3,381858569744759
x: 3,7633940410489597	 y: -3,3887410371042983
x: 3,902670809273694	 y: -3,395605917431615
x: 3,6531701337993407	 y: -3,402452134004723
x: 2,253962956647737	 y: -3,409281568927151
x: 1,24600726919036	 y: -3,4161024972142364
x: 2,729957822838902	 y: -3,4229184469125102
x: 0,194295452859663	 y: -3,4297234992387757
x: 0,029046290660856844	 y: -3,4365250771454545
x: 2,2165973191728208	 y: -3,4433232107983063
x: 7,955345880284442	 y: -3,4501129710859146
x: 6,96499952042611	 y: -3,456835860056714
x: 6,197520039967422	 y: -3,4635066768811136
x: 7,908845061626902	 y: -3,4701355370728817
x: 6,924225750722965	 y: -3,4766982450606476
x: 3,6500661194907114	 y: -3,48320942845025
x: 8,42874271513486	 y: -3,4897037719848765
x: 9,370129705471992	 y: -3,4961234328212605
x: 1,7306564830393978	 y: -3,502451615338354
x: 4,048301306465224	 y: -3,508773287217204
x: 0,4049340156133363	 y: -3,5150750217244924
x: 0,0730983841166366	 y: -3,521373069816057
x: 6,338389449160467	 y: -3,527667584127151
x: 3,3386608944813148	 y: -3,5339183080528715
x: 9,342929060785488	 y: -3,5401543219984655
x: 2,3546887721630414	 y: -3,5462993235324918
x: 6,961475826409299	 y: -3,5524352159989547
x: 0,808550292833381	 y: -3,558518989699107
x: 7,33077065140554	 y: -3,564598542689494
x: 2,5399775876536292	 y: -3,570620676101257
x: 4,203808384386994	 y: -3,576632767331878
x: 9,056858174564319	 y: -3,5826235673636933
x: 0,6563571869765494	 y: -3,588528586616169
x: 6,790328177815721	 y: -3,59442957848456
x: 3,5818110824000837	 y: -3,6002807678113298
x: 9,255266039032442	 y: -3,6061154945780434
x: 4,038879454438419	 y: -3,6118607764795243
x: 5,087458858504492	 y: -3,6175860940643116
x: 8,33876263546762	 y: -3,6232818527371027
x: 7,40463091914976	 y: -3,628904306629494
x: 6,82975404331235	 y: -3,634468185967997
x: 2,982718219209758	 y: -3,6399816845869637
x: 2,3498506991466774	 y: -3,645482621505431
x: 9,288540532219463	 y: -3,650974372780869
x: 6,2282862499424505	 y: -3,6563760159706513
x: 0,15644958505256823	 y: -3,661735126211442
x: 3,1114755513342143	 y: -3,667090542857137
x: 2,9125170776381215	 y: -3,672432584395343
x: 2,870773947665237	 y: -3,6777624463983463
x: 6,276099889740552	 y: -3,6830803654218283
x: 1,9109307672951947	 y: -3,6883551256607086
x: 9,52771707247592	 y: -3,693622531185993
x: 8,71997568773147	 y: -3,6987952764703116
x: 4,286219701719013	 y: -3,7038881252702875
x: 4,072107408218831	 y: -3,7089588542853567
x: 5,683449977506664	 y: -3,714009251639838
x: 3,565661073808447	 y: -3,7190235612420044
x: 5,27349552652292	 y: -3,7240214049664266
x: 3,017310569092481	 y: -3,728987651752095
x: 9,705918134173077	 y: -3,733941039682189
x: 8,812085672581143	 y: -3,7387962926526312
x: 3,3085468989459823	 y: -3,7435699909450793
x: 5,061212958611145	 y: -3,7483289697607196
x: 3,523181625494817	 y: -3,753058525554156
x: 3,6665842320835482	 y: -3,757771883100004
x: 2,2302767175521376	 y: -3,7624680045791408
x: 9,73655984143575	 y: -3,7671553719565867
x: 7,902959548662083	 y: -3,7717439741495107
x: 2,641986383945535	 y: -3,7762662151728543
x: 0,5632943058356843	 y: -3,780777678292902
x: 1,6526912073898203	 y: -3,785285035126329
x: 2,235095193720448	 y: -3,789785862233571
x: 1,2642218530175797	 y: -3,7942778863071616
x: 5,663673993588162	 y: -3,798764507044704
x: 5,691676963864629	 y: -3,8032151799549263
x: 3,2227275793718024	 y: -3,8076295819577637
x: 6,170022456181857	 y: -3,8120297619281254
x: 4,708113439049918	 y: -3,81638797680339
x: 2,304591701428155	 y: -3,8207201569150295
x: 9,553777236779702	 y: -3,8250431868724446
x: 3,0603929699987065	 y: -3,829270926642097
x: 8,20770259158952	 y: -3,833485444705501
x: 3,8263485213463744	 y: -3,837628620288009
x: 9,779132153799639	 y: -3,841753280286237
x: 5,460994497850491	 y: -3,845778267860328
x: 0,24999119686506588	 y: -3,8497695197576274
x: 3,5530142040414425	 y: -3,853756851553526
x: 5,918271443796543	 y: -3,857727672677806
x: 2,729950319653831	 y: -3,861659532253395
x: 0,7980908849732593	 y: -3,8655800548781394
x: 3,871532051203408	 y: -3,8694960659551842
x: 9,07774578693645	 y: -3,873393181002576
x: 0,2755320178602694	 y: -3,8772038443713086
x: 5,707750018323747	 y: -3,8810105467001854
x: 5,8785583708186415	 y: -3,884780716579878
x: 3,7777249016564616	 y: -3,888512367230396
x: 9,38200996423883	 y: -3,8922258217891263
x: 5,486115801441817	 y: -3,895847177906281
x: 5,6987990595485005	 y: -3,899434472620928
x: 4,390285705218649	 y: -3,902985318729618
x: 1,8053272292838263	 y: -3,9065129408196024
x: 6,407565984583395	 y: -3,910033382837277
x: 7,965582546069854	 y: -3,9135087678507703
x: 7,105054256397711	 y: -3,9169166539198073
x: 5,02889553135312	 y: -3,9202700323153645
x: 4,0537378789841885	 y: -3,923594142142757
x: 6,0748503673121315	 y: -3,9268978548112954
x: 0,6897541510234229	 y: -3,930160654990928
x: 0,22066453160586308	 y: -3,9334190404240386
x: 7,252611749769372	 y: -3,9366734357690873
x: 8,646155456899944	 y: -3,9398711808195688
x: 7,735525754119465	 y: -3,942990072366531
x: 0,9932334654970298	 y: -3,9460450548104316
x: 7,7142991757439	 y: -3,9490950948166272
x: 7,2824585483643824	 y: -3,9520815482063094
x: 4,385409123947067	 y: -3,955010901168179
x: 1,396200746507138	 y: -3,9579170208626615
x: 1,1688828159258657	 y: -3,9608172214312662
x: 1,691402353697895	 y: -3,963712084225401
x: 2,467089465498049	 y: -3,9666001087959204
x: 9,839139949826976	 y: -3,9694780600994397
x: 8,12557159025131	 y: -3,972255031390903
x: 0,8473757276776506	 y: -3,974961865309057
x: 7,345809974057483	 y: -3,9776639968196092
x: 6,947762348420481	 y: -3,980308073690766
x: 0,4262295465986199	 y: -3,9828997941918147
x: 9,347844625570406	 y: -3,9854873417797902
x: 3,2459114945760947	 y: -3,9879833386714383
x: 6,637665753237497	 y: -3,9904647825468373
x: 0,7776780698485997	 y: -3,99289808110832
x: 6,493800629717214	 y: -3,995326772779367
x: 5,616790067048151	 y: -3,997709207208797
x: 5,261730339506786	 y: -4,000056024399503
x: 1,0082388371542972	 y: -4,002371092261109
x: 9,4734242588347	 y: -4,00468113115316
x: 6,6934392534508085	 y: -4,006897231814369
x: 0,37031578516238506	 y: -4,009064425684631
x: 3,731831694322106	 y: -4,011227465051836
x: 6,963822668101419	 y: -4,013372530694305
x: 1,2693354947292512	 y: -4,015464982963958
x: 6,431564560950893	 y: -4,017551797285772
x: 3,5896479015474525	 y: -4,019593138131608
x: 9,184486138655236	 y: -4,021617539951135
x: 5,10953825557606	 y: -4,023553388349202
x: 3,114737021502425	 y: -4,0254590454603125
x: 6,177252215493877	 y: -4,027350948030336
x: 9,70547442629752	 y: -4,02920058030616
x: 8,669229677786333	 y: -4,030951790401626
x: 6,53742581383689	 y: -4,0326236553912285
x: 4,125496974221167	 y: -4,034248656139286
x: 2,0342333999553572	 y: -4,035852560742208
x: 8,245160130252222	 y: -4,037448275014574
x: 1,206130983132302	 y: -4,038971824916516
x: 3,49128990837124	 y: -4,040489870090733
x: 8,978499224282228	 y: -4,041991653161912
x: 5,487021052441692	 y: -4,043408611227932
x: 9,905898323428865	 y: -4,044791350081105
x: 6,298306044599147	 y: -4,046071712671183
x: 7,051116712838214	 y: -4,047308272969737
x: 6,646520225382666	 y: -4,048490960020498
x: 7,103664487351997	 y: -4,0496253257548815
x: 1,2966641063392292	 y: -4,0507050706276875
x: 9,345383493427729	 y: -4,051779071976314
x: 1,4115137381317966	 y: -4,052761502302755
x: 8,807720068128685	 y: -4,0537378753882365
x: 0,45252884836518015	 y: -4,054632455298487
x: 4,861155631646566	 y: -4,055522767262298
x: 6,4963289369020005	 y: -4,056385337413383
x: 0,7914302700919107	 y: -4,057201556233164
x: 0,8981465238524955	 y: -4,058013082108318
x: 4,303851782987903	 y: -4,058819733559239
x: 9,127509416151764	 y: -4,0596037578185
x: 0,3812474670561605	 y: -4,060300236041334
x: 7,181209021030513	 y: -4,060992500190367
x: 6,381910273125975	 y: -4,06162902215527
x: 0,39114276569535367	 y: -4,062220663997051
x: 1,0138019393837039	 y: -4,062808082182415
x: 6,066504507641373	 y: -4,063390399568828
x: 1,5976672297625993	 y: -4,063931769233404
x: 3,9275279472187865	 y: -4,064466509172813
x: 4,61803383820288	 y: -4,064981720131504
x: 0,8197298700630917	 y: -4,065471489013232
x: 9,51542893958879	 y: -4,065956510977323
x: 1,5170814937315125	 y: -4,066346734094102
x: 5,959654391941587	 y: -4,0667305765729935
x: 9,466579835797885	 y: -4,067074755553504
x: 4,139918959539405	 y: -4,06732506367763
x: 3,76338246782315	 y: -4,067554123071488
x: 3,655235010305873	 y: -4,067764915347655
x: 1,6197604723793457	 y: -4,067958244206555
x: 8,310998937298498	 y: -4,0681448680799575
x: 1,1018879395160042	 y: -4,068258204603744
x: 9,771929769532544	 y: -4,068366248131596
x: 7,128705885816025	 y: -4,068374533264748
x: 7,332174960399125	 y: -4,068327821637236
x: 0,8316094068013791	 y: -4,068223165060298
x: 9,96761085029108	 y: -4,068113739152095
x: 1,7937681375643533	 y: -4,067900684710654
x: 0,4378183510742073	 y: -4,067680330171501
x: 2,8183609952564384	 y: -4,067455707735584
x: 6,750517230035843	 y: -4,06721905062795
x: 4,185421024960449	 y: -4,06693265739588
x: 3,6709844332194086	 y: -4,066624636247792
x: 5,369006663533552	 y: -4,066299037210158
x: 2,64537224424116	 y: -4,065940479757062
x: 3,823149003317593	 y: -4,06557083620807
x: 6,5380306252955975	 y: -4,065182473199741
x: 3,514622165295563	 y: -4,064747205401806
x: 8,463626252215926	 y: -4,064295487403752
x: 7,5606553510100385	 y: -4,063767920518948
x: 6,2493774263375	 y: -4,063179003718405
x: 7,343405688128495	 y: -4,0625468826553215
x: 1,9612307377894922	 y: -4,061856657287749
x: 5,860153068275148	 y: -4,061158507797192
x: 6,874005481572657	 y: -4,060421878833676
x: 4,783140744252088	 y: -4,059633834718031
x: 2,405424846404758	 y: -4,058818798576112
x: 3,1291274818528656	 y: -4,057993897827354
x: 7,24132302944254	 y: -4,057155119905432
x: 9,445380773893246	 y: -4,056259734911636
x: 1,4707365784214055	 y: -4,055270891616998
x: 0,3305299612189072	 y: -4,054275817530032
x: 7,2445755073645834	 y: -4,053276571577633
x: 8,682036962194728	 y: -4,052220675230241
x: 8,75279467850511	 y: -4,05108518979778
x: 5,129857954416593	 y: -4,049868880298135
x: 6,789130587225387	 y: -4,048622144665137
x: 4,525409845910145	 y: -4,047325167683408
x: 4,584698064456116	 y: -4,046003614915241
x: 3,1552886298280516	 y: -4,044656946480901
x: 8,593311671500611	 y: -4,043296249500211
x: 1,4610672519829493	 y: -4,041857508207209
x: 0,6968057938294903	 y: -4,040412577967479
x: 6,9114830181183	 y: -4,038963112711359
x: 6,408613381496339	 y: -4,037461736123865
x: 8,04902867334388	 y: -4,0359151613980835
x: 1,5359240223462634	 y: -4,034299626042257
x: 7,310403561827682	 y: -4,032677684518272
x: 8,867333104487638	 y: -4,030998153194355
x: 7,657379234961912	 y: -4,029235795706398
x: 3,3182916122280903	 y: -4,027410648008265
x: 7,895889396542235	 y: -4,025570431718146
x: 5,048537951628419	 y: -4,023663711847575
x: 1,4777442536107288	 y: -4,021727421466393
x: 4,492833691709466	 y: -4,019784913200157
x: 1,810407856879448	 y: -4,017818151111034
x: 4,556853568666284	 y: -4,015844079014447
x: 8,969883381745037	 y: -4,013845176523376
x: 0,7602643936422526	 y: -4,0117616321801846
x: 0,6616615950153892	 y: -4,0096734888800984
x: 2,1713204734579716	 y: -4,007580889202157
x: 4,0339240424627585	 y: -4,0054795498401
x: 9,750132017461073	 y: -4,003357891838352
x: 1,116828042503748	 y: -4,001136966969887
x: 8,446626746335188	 y: -3,998910783146928
x: 3,1734972133589756	 y: -3,996609103994631
x: 1,3647602038139395	 y: -3,9942933289710196
x: 8,597011658153383	 y: -3,991971685352344
x: 6,756039282464799	 y: -3,9895719851173563
x: 4,425553379325066	 y: -3,9871225518272206
x: 6,278853352606345	 y: -3,984649498675717
x: 6,897161511344078	 y: -3,982132949927593
x: 2,655213684906461	 y: -3,9795647449488003
x: 9,62363166760524	 y: -3,976985488152968
x: 7,868625484643681	 y: -3,9743094466124687
x: 5,585638200899147	 y: -3,9715673835184195
x: 8,230981697241798	 y: -3,9687900790553794
x: 3,4565465223476277	 y: -3,965940913091419
x: 3,2393111015270537	 y: -3,963075801597571
x: 4,791981974852853	 y: -3,960196204935657
x: 2,06881609880351	 y: -3,957289631058839
x: 3,483971233159735	 y: -3,9543748033930144
x: 1,1966613851678165	 y: -3,9514438510636305
x: 4,5171810268422785	 y: -3,948507504508868
x: 3,5144643187022764	 y: -3,94554675574215
x: 8,039690493353792	 y: -3,9425696773262597
x: 1,6168168674940242	 y: -3,9395238823530656
x: 7,343550348933931	 y: -3,936471520632278
x: 8,738282804786413	 y: -3,933361178806011
x: 5,61797610573401	 y: -3,9301703852090997
x: 9,114843905247088	 y: -3,9269440286960093
x: 1,8409456653641398	 y: -3,9236304905834563
x: 3,8359763079982123	 y: -3,920309625112079
x: 1,6798506555969683	 y: -3,916970087290814
x: 5,3850499684709145	 y: -3,9136237971032566
x: 9,950104462106982	 y: -3,910244528605096
x: 4,570715688539023	 y: -3,9067621391447966
x: 2,8289984209816255	 y: -3,9032549018095506
x: 0,5021193015258085	 y: -3,8997357341385954
x: 1,6214200503839726	 y: -3,8962124062919226
x: 2,0547846603631914	 y: -3,8926825401598304
x: 1,7631690378814868	 y: -3,889144542951176
x: 1,0583362180813816	 y: -3,8855995338160807
x: 5,772073679756794	 y: -3,8820495089795144
x: 2,774804940842326	 y: -3,87846221074936
x: 2,730328370956503	 y: -3,874863311323746
x: 3,8827960776177193	 y: -3,8712530596486605
x: 4,919405441356888	 y: -3,8676238226635005
x: 0,9256934363721703	 y: -3,8639664612839564
x: 6,54373304991706	 y: -3,8603043695736816
x: 9,816489492568154	 y: -3,856595503615086
x: 2,9175151650624462	 y: -3,852786216853845
x: 8,18877761317019	 y: -3,848964540645144
x: 8,33262416093833	 y: -3,8450718173700182
x: 5,127159128321748	 y: -3,8411056696221464
x: 6,78012642097924	 y: -3,837109332659637
